Arabic,Amharic
አይ,لا
من,ከ
في ,በ ውስጥ
أن ,ያ
هذا ,ይህ
على ,በእኔ ላይ
ما ,ምንድን
أنا ,እኔ
هل ,አንተ
و ,እና
يا ,ሄይ
ذلك ,ያ
لقد ,ሊን
لم ,አላደረገም
ماذا ,ምንድን
كان ,ነበር
هنا ,እዚ 'ጋ
إلى ,ለኔ
أنت ,አንተ ነህ
هو ,እሱ ነው
هذه ,ይህ ነው
عن ,ስለ
نعم ,አዎ
ان ,ያ
هناك ,እዚያ
كل ,ሁሉም
حسناً ,ደህና
ليس ,አይደለም
كنت ,እነ ነበርኩ
فقط ,በቃ
شيء ,የሆነ ነገር
الآن ,አሁን
مع ,ከ ጋር
الذي ,ያ
لكن ,ግን
أجل ,አዎ
لك ,ለእርስዎ
يجب ,መሆን አለበት
لن ,አይሆንም
كيف ,እንዴት
حسنا ,ጥሩ
انا ,እኔ
لي ,የኔ
إنه ,እሱ ነው ሀ
سوف ,ይሆናል
نحن ,እኛ
إذا ,ከሆነ
كانت ,እሷ ነች
عندما ,መቼ
أي ,የትኛው
قد ,ምን አልባት
لماذا ,እንዴት
هي ,እርሷ
الأمر ,ትዕዛዝ
أنه ,እሱ ነው ሀ
فى ,በ ውስጥ
حتى ,እስከ
بعد ,ርቀት
كذلك ,እንደዚያ
أو ,ወይም
ولكن ,ግን
قبل ,ከዚህ በፊት
التي ,ያ
انه ,እሱ ነው ሀ
إنها ,ያ ነው
لو ,ከሆነ
ربما ,ምናልባት
أين ,የት
هيا ,ኧረ
تلك ,ያ
أعرف ,አውቃለሁ
الى ,ለኔ
إن ,ያ
يكون ,መሆን አለበት
بعض ,አንዳንድ
أريد ,እፈልጋለሁ
أعتقد ,አምናለው
انت ,አንቺ
عليك ,በአንተ ላይ
مثل ,እንደ
صحيح ,ቀኝ
به ,ጋር
أنك ,አንተ ነህ
الوقت ,ጊዜው
بخير ,ደህና
أعلم ,እወቅ
أحد ,አንድ
شخص ,ሰው
جداً ,በጣም
رجل ,ሰው
شكراً ,አመሰግናለሁ
لذا ,ስለዚህ
يمكن ,ይችላል
كما ,እንደ
كلا ,ሁለቱም
أكثر ,ተጨማሪ
يبدو ,ይመስላል
جيد ,ጥሩ
تكون ,ቅሬታ
علي ,በርቷል